0.1.41-Beta			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.41-Beta/seen-common-0.1.41-Beta.jar returned status 404
0.1.59			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.59/seen-common-0.1.59.jar returned status 404
0.1.60			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.60/seen-common-0.1.60.jar returned status 404
0.1.61			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.61/seen-common-0.1.61.jar returned status 404
0.1.62			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.62/seen-common-0.1.62.jar returned status 404
0.1.63			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.63/seen-common-0.1.63.jar returned status 404
0.1.64			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.64/seen-common-0.1.64.jar returned status 404
0.1.66			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.66/seen-common-0.1.66.jar returned status 404
0.1.67			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.67/seen-common-0.1.67.jar returned status 404
0.1.68			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.68/seen-common-0.1.68.jar returned status 404
0.1.69			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.69/seen-common-0.1.69.jar returned status 404
0.1.70			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.70/seen-common-0.1.70.jar returned status 404
0.1.71			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.71/seen-common-0.1.71.jar returned status 404
0.1.72			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.72/seen-common-0.1.72.jar returned status 404
0.1.73			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.73/seen-common-0.1.73.jar returned status 404
0.1.74			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.74/seen-common-0.1.74.jar returned status 404
0.1.75			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.75/seen-common-0.1.75.jar returned status 404
0.1.76			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.76/seen-common-0.1.76.jar returned status 404
0.1.77			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.77/seen-common-0.1.77.jar returned status 404
0.1.78			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.78/seen-common-0.1.78.jar returned status 404
0.1.79			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.79/seen-common-0.1.79.jar returned status 404
0.1.80			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.80/seen-common-0.1.80.jar returned status 404
0.1.81			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.81/seen-common-0.1.81.jar returned status 404
0.1.82			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.82/seen-common-0.1.82.jar returned status 404
0.1.83			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.83/seen-common-0.1.83.jar returned status 404
0.1.85			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.85/seen-common-0.1.85.jar returned status 404
0.1.86			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.86/seen-common-0.1.86.jar returned status 404
0.1.89		2026-05-30T03:10:44Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.89/seen-common-0.1.89.jar returned status 404
0.1.90		2026-06-15T15:09:54Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.90/seen-common-0.1.90.jar returned status 404
0.1.91			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.91/seen-common-0.1.91.jar returned status 404
0.1.92			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.92/seen-common-0.1.92.jar returned status 404
0.1.93			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.93/seen-common-0.1.93.jar returned status 404
0.1.94			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.94/seen-common-0.1.94.jar returned status 404
0.1.95			IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.95/seen-common-0.1.95.jar returned status 404
0.1.96		2026-08-21T17:26:47Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.96/seen-common-0.1.96.jar returned status 404
0.1.97		2026-08-21T17:40:43Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.97/seen-common-0.1.97.jar returned status 404
0.1.98		2026-08-22T09:56:01Z	IOException: Tail request on https://maven-central.storage-download.googleapis.com/maven2/io/github/seenings/seen-common/0.1.98/seen-common-0.1.98.jar returned status 404
